,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
113,To Kill a Mockingbird,(1962),129 min,8.3,88        ,"322,910",#112,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
114,Toy Story 3,(2010),103 min,8.3,92        ,"857,752",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
115,Vertigo,(1958),128 min,8.3,100        ,"411,752",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
116,North by Northwest,(1959),136 min,8.3,98        ,"335,353",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
117,Citizen Kane,(1941),119 min,8.3,100        ,"451,595",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
118,Singin' in the Rain,(1952),103 min,8.3,99        ,"249,633",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
119,Ikiru,(1952),143 min,8.3,92        ,"82,176",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
120,Metropolis,(1927),153 min,8.3,98        ,"178,643",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
121,The Sting,(1973),129 min,8.3,83        ,"270,115",$159.60M,Two grifters team up to pull off the ultimate con.
122,M - Eine Stadt sucht einen Mörder,(1931),117 min,8.3,****,"162,052",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
123,The Apartment,(1960),125 min,8.3,94        ,"187,128",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
124,Jodaeiye Nader az Simin,(2011),123 min,8.3,95        ,"249,977",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
125,Judgment at Nuremberg,(1961),179 min,8.3,60        ,"80,219",#135,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
126,Kantara,(2022),148 min,8.3,****,"96,093",%^%^%^,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
127,Double Indemnity,(1944),107 min,8.3,95        ,"161,171",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
128,Taare Zameen Par,(2007),165 min,8.3,****,"198,522",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
129,Ayla: The Daughter of War,(2017),125 min,8.3,****,"41,727",%^%^%^,"Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind."
130,Dangal,(2016),161 min,8.3,****,"198,009",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
131,Ladri di biciclette,(1948),89 min,8.3,****,"168,016",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
132,Vikram,(2022),175 min,8.3,****,"64,238",%^%^%^,"A high-octane action film where a special investigator is assigned a case of serial Killings, he finds the case is not what it seems to be and leading down this path is only going to end in a war between everyone involved."
133,K.G.F: Chapter 2,(2022),168 min,8.3,****,"140,178",$6.60M,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
134,Chhichhore,(2019),143 min,8.3,****,"58,128",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
135,The Kid,(1921),68 min,8.3,****,"129,639",$5.45M,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
136,Shershaah,(2021),135 min,8.3,****,"125,068",%^%^%^,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
137,Ratsasan,(2018),170 min,8.3,****,"47,175",%^%^%^,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
138,Drishyam,(2013),160 min,8.3,****,"42,696",%^%^%^,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
139,Guardians of the Galaxy Vol. 3,(2023),150 min,8.2,64        ,"175,519",#170,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
140,Jurassic Park,(1993),127 min,8.2,68        ,"1,017,541",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
141,Spider-Man: No Way Home,(2021),148 min,8.2,71        ,"805,104",$804.75M,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
142,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        ,"774,341",$197.17M,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
143,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,469,516",$116.90M,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
144,No Country for Old Men,(2007),122 min,8.2,92        ,"1,004,686",$74.28M,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
145,Taxi Driver,(1976),114 min,8.2,94        ,"867,472",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
